2024-10-05 14:00:24.307 | DEBUG | middlewares.v1.logs:show_reqs | 	Status code: 200
2024-10-05 14:00:24.308 | DEBUG | middlewares.v1.logs:show_reqs | 	Request-ID: 6518ef4d-8ce4-4ce7-beee-eafffd6addab
2024-10-05 14:00:57.729 | DEBUG | middlewares.v1.logs:show_reqs | Call: http://localhost:8005/v1/permissions?page=1&limit=20&sort_by=created_at&order_by=desc
2024-10-05 14:00:57.730 | DEBUG | middlewares.v1.logs:show_reqs | 	Method: GET
2024-10-05 14:00:57.731 | DEBUG | middlewares.v1.logs:show_reqs | 	Status code: 401
2024-10-05 14:00:57.732 | DEBUG | middlewares.v1.logs:show_reqs | 	Request-ID: 0b4d0b38-b3f0-49f4-acb0-f88b4b1470ab
2024-10-05 14:01:24.345 | DEBUG | middlewares.v1.logs:show_reqs | Call: http://localhost:8005/v1/health/ping
2024-10-05 14:01:24.345 | DEBUG | middlewares.v1.logs:show_reqs | 	Method: GET
2024-10-05 14:01:24.346 | DEBUG | middlewares.v1.logs:show_reqs | 	Status code: 200
2024-10-05 14:01:24.347 | DEBUG | middlewares.v1.logs:show_reqs | 	Request-ID: b13633cf-461d-4421-9051-0d9e78f9e400
2024-10-05 14:02:24.402 | DEBUG | middlewares.v1.logs:show_reqs | Call: http://localhost:8005/v1/health/ping
2024-10-05 14:02:24.403 | DEBUG | middlewares.v1.logs:show_reqs | 	Method: GET
2024-10-05 14:02:24.404 | DEBUG | middlewares.v1.logs:show_reqs | 	Status code: 200
2024-10-05 14:02:24.405 | DEBUG | middlewares.v1.logs:show_reqs | 	Request-ID: 564a716a-5dbf-4283-b098-a08921fd2442
2024-10-05 14:03:24.542 | DEBUG | middlewares.v1.logs:show_reqs | Call: http://localhost:8005/v1/health/ping
2024-10-05 14:03:24.543 | DEBUG | middlewares.v1.logs:show_reqs | 	Method: GET
2024-10-05 14:03:24.544 | DEBUG | middlewares.v1.logs:show_reqs | 	Status code: 200
2024-10-05 14:03:24.545 | DEBUG | middlewares.v1.logs:show_reqs | 	Request-ID: 21b4b6b1-7e2e-480c-b470-fef3535b999c
2024-10-05 14:04:24.584 | DEBUG | middlewares.v1.logs:show_reqs | Call: http://localhost:8005/v1/health/ping
2024-10-05 14:04:24.585 | DEBUG | middlewares.v1.logs:show_reqs | 	Method: GET
2024-10-05 14:04:24.586 | DEBUG | middlewares.v1.logs:show_reqs | 	Status code: 200
2024-10-05 14:04:24.587 | DEBUG | middlewares.v1.logs:show_reqs | 	Request-ID: ba73286c-5db6-4800-ad4d-27512a6785ac
2024-10-05 14:05:12.885 | DEBUG | middlewares.v1.logs:show_reqs | Call: http://localhost:8005/v1/permissions?page=1&limit=20&sort_by=created_at&order_by=desc
2024-10-05 14:05:12.886 | DEBUG | middlewares.v1.logs:show_reqs | 	Method: GET
2024-10-05 14:05:12.887 | DEBUG | middlewares.v1.logs:show_reqs | 	Status code: 401
2024-10-05 14:05:12.888 | DEBUG | middlewares.v1.logs:show_reqs | 	Request-ID: fe077741-deaf-4a40-9dec-3f04dc29c4f9
2024-10-05 14:05:24.628 | DEBUG | middlewares.v1.logs:show_reqs | Call: http://localhost:8005/v1/health/ping
2024-10-05 14:05:24.628 | DEBUG | middlewares.v1.logs:show_reqs | 	Method: GET
2024-10-05 14:05:24.629 | DEBUG | middlewares.v1.logs:show_reqs | 	Status code: 200
2024-10-05 14:05:24.631 | DEBUG | middlewares.v1.logs:show_reqs | 	Request-ID: f3c72c95-0594-4780-843e-5b83df6cc25e
2024-10-05 14:05:29.149 | DEBUG | middlewares.v1.logs:show_reqs | Call: http://localhost:8005/v1/permissions?page=1&limit=20&sort_by=created_at&order_by=desc
2024-10-05 14:05:29.150 | DEBUG | middlewares.v1.logs:show_reqs | 	Method: GET
2024-10-05 14:05:29.151 | DEBUG | middlewares.v1.logs:show_reqs | 	Status code: 401
2024-10-05 14:05:29.152 | DEBUG | middlewares.v1.logs:show_reqs | 	Request-ID: 22771e05-41af-473c-87ee-0201d671346a
2024-10-05 14:06:24.696 | DEBUG | middlewares.v1.logs:show_reqs | Call: http://localhost:8005/v1/health/ping
2024-10-05 14:06:24.697 | DEBUG | middlewares.v1.logs:show_reqs | 	Method: GET
2024-10-05 14:06:24.699 | DEBUG | middlewares.v1.logs:show_reqs | 	Status code: 200
2024-10-05 14:06:24.700 | DEBUG | middlewares.v1.logs:show_reqs | 	Request-ID: 949cb402-1e52-437d-b421-cdb82af4deb8
2024-10-05 14:06:49.388 | DEBUG | middlewares.v1.logs:show_reqs | Call: http://localhost:8005/v1/permissions?page=1&limit=20&sort_by=created_at&order_by=desc
2024-10-05 14:06:49.390 | DEBUG | middlewares.v1.logs:show_reqs | 	Method: GET
2024-10-05 14:06:49.391 | DEBUG | middlewares.v1.logs:show_reqs | 	Status code: 401
2024-10-05 14:06:49.392 | DEBUG | middlewares.v1.logs:show_reqs | 	Request-ID: df393797-91d0-451b-88c3-55a7700e2529
2024-10-05 14:07:17.044 | DEBUG | middlewares.v1.logs:show_reqs | Call: http://localhost:8005/v1/permissions?page=1&limit=20&sort_by=created_at&order_by=desc
2024-10-05 14:07:17.045 | DEBUG | middlewares.v1.logs:show_reqs | 	Method: GET
2024-10-05 14:07:17.046 | DEBUG | middlewares.v1.logs:show_reqs | 	Status code: 401
